,HC,Herb,Woody,Leaf,Other,Crops,BuiltArea,Trees
45SPRING,1.998959553,0.425,0.2,0.375,0,0,0.247360843,72.43429043
45SUMMER,2.395284781,0.85,0.1,0.05,0,0,0.247360843,72.43429043
45FALL,1.998959553,0.425,0.2,0.375,0,0,0.247360843,72.43429043
48WINTER,1.851647284,0,0,1,0,0,0.718466798,71.06335705
48SPRING,2.298629431,0.35,0.075,0.5,0.075,0,0.718466798,71.06335705
48SUMMER,2.745611578,0.7,0.15,0,0.15,0,0.718466798,71.06335705
48FALL,2.298629431,0.35,0.075,0.5,0.075,0,0.718466798,71.06335705
50SUMMER,2.20620915,0.2,0.1,0.7,0,0.020721874,11.93552854,69.81552372
51WINTER,1.710784314,0,0.03,0.97,0,2.02431609,28.09059366,42.35445267
51SPRING,1.934780579,0.075,0.015,0.91,0,2.02431609,28.09059366,42.35445267
51SUMMER,2.158776844,0.15,0,0.85,0,2.02431609,28.09059366,42.35445267
51FALL,1.934780579,0.075,0.015,0.91,0,2.02431609,28.09059366,42.35445267
53SUMMER,2.894864613,0.1,0.8,0.1,0,0.235818312,6.382492702,65.39215414
55WINTER,1.960137367,0,0.2,0.8,0,4.595520384,0,57.60300335
55SPRING,2.104975313,0.15,0.2,0.65,0,4.595520384,0,57.60300335
55SUMMER,2.249813259,0.3,0.2,0.5,0,4.595520384,0,57.60300335
55FALL,2.104975313,0.15,0.2,0.65,0,4.595520384,0,57.60300335
57WINTER,1.876157088,0,0.1,0.9,0,14.15918549,0.208561301,30.79604046
57SUMMER,2.195985061,0,0.1,0.9,0,14.15918549,0.208561301,30.79604046
57FALL,2.036071074,0,0.1,0.9,0,14.15918549,0.208561301,30.79604046
60WINTER,2.742269887,0,0.6,0.4,0,2.612059551,0.693978911,89.44340173
60SPRING,2.972208706,0.425,0.3,0.275,0,2.612059551,0.693978911,89.44340173
60SUMMER,3.202147526,0.85,0,0.15,0,2.612059551,0.693978911,89.44340173
60FALL,2.972208706,0.425,0.3,0.275,0,2.612059551,0.693978911,89.44340173
66WINTER,1.646478362,0,0.4,0.6,0,4.572612862,0.307192792,78.00418874
66SPRING,2.015466072,0.425,0.2,0.375,0,4.572612862,0.307192792,78.00418874
66SUMMER,2.384453782,0.85,0,0.15,0,4.572612862,0.307192792,78.00418874
66FALL,2.015466072,0.425,0.2,0.375,0,4.572612862,0.307192792,78.00418874
68WINTER,2.05198073,0,0.4,0.6,0,0.793398672,24.21811719,46.51565834
68SPRING,2.266466555,0.35,0.3,0.35,0,0.793398672,24.21811719,46.51565834
68SUMMER,2.480952381,0.7,0.2,0.1,0,0.793398672,24.21811719,46.51565834
68FALL,2.266466555,0.35,0.3,0.35,0,0.793398672,24.21811719,46.51565834
70WINTER,1.580065359,0,0.3,0.7,0,0.063661977,5.747724883,71.76830431
70SPRING,1.661134454,0.1,0.15,0.75,0,0.063661977,5.747724883,71.76830431
70SUMMER,1.742203548,0.2,0,0.8,0,0.063661977,5.747724883,71.76830431
70FALL,1.661134454,0.1,0.15,0.75,0,0.063661977,5.747724883,71.76830431
71WINTER,2.138001575,0,0.4,0.6,0,0,0,63.05913692
71SPRING,2.508543271,0.5,0.2,0.3,0,0,0,63.05913692
71SUMMER,2.879084967,1,0,0,0,0,0,63.05913692
71FALL,2.508543271,0.5,0.2,0.3,0,0,0,63.05913692
72WINTER,2.585680751,0,0.3,0.7,0,0.188524902,19.97698648,75.81956815
72SPRING,2.573395931,0.05,0.15,0.8,0,0.188524902,19.97698648,75.81956815
72SUMMER,2.561111111,0.1,0,0.9,0,0.188524902,19.97698648,75.81956815
72FALL,2.573395931,0.05,0.15,0.8,0,0.188524902,19.97698648,75.81956815
75WINTER,2.490295805,0.1,0.1,0.8,0,0,0,57.79472754
75SPRING,2.634410274,0.5,0.1,0.4,0,0,0,57.79472754
75SUMMER,2.778524743,0.9,0.1,0,0,0,0,57.79472754
75FALL,2.634410274,0.5,0.1,0.4,0,0,0,57.79472754
78WINTER,2.048472388,0,0.5,0.5,0,0,0,97.37593891
78SPRING,2.15890006,0.025,0.6,0.375,0,0,0,97.37593891
78SUMMER,2.269327731,0.05,0.7,0.25,0,0,0,97.37593891
78FALL,2.15890006,0.025,0.6,0.375,0,0,0,97.37593891
